vgg16,vgg19,resnet34,resnet50,densenet121,densenet169,inception_v3,inception_resnet_v2,efficientnet-b4,efficientnet-b7,class
6.1722527,-0.010674965,14.470448,1.5708632,-1.1025182,-0.21246976,0.22928233,-0.35768962,-0.08456159,1.6133944,1
-0.64674824,-0.01625121,-11.227246,0.6809547,-0.97586864,-0.16034669,-0.13097285,-0.46511334,-0.40438607,0.9012438,1
-9.302119,-0.09039622,-12.916601,-7.5685143,-1.0758357,-0.3244039,-0.4063042,-0.41991648,-0.19067867,0.55580336,0
-12.323487,-0.04586233,-11.263245,-6.118065,-0.75637347,-0.6713656,-0.14581303,-0.48798743,-0.1418988,-0.7594763,0
13.083898,-0.3063822,14.757997,1.47273,-0.7086366,-0.72312075,-0.111345425,-0.32240123,-0.22583039,-0.9835628,1
-12.078364,-0.17304751,-10.379369,-7.701508,-0.45094818,-0.41496852,-0.5456283,-0.42011696,-0.82755655,0.7550643,0
-9.066318,-0.031513017,-13.209158,-8.666206,-1.228793,-0.16905198,-0.07444422,-0.46996224,-0.09295122,1.6764256,0
-9.616393,-0.04238372,-7.1403236,-6.0789504,-0.39118212,-0.6970546,0.03261344,-0.4724744,-0.25285354,-0.8315159,1
5.617351,-0.0117695145,13.970042,1.5279697,-1.0948073,-0.22751677,0.16059576,-0.3268237,-0.12800871,1.6751764,1
4.017865,0.10578974,9.811364,6.7360344,-0.5259538,-0.30685535,-0.094163686,-0.36072558,-0.2776477,1.574594,1
-8.463386,-0.018238623,-13.703031,-5.5307956,-1.07106,-0.29125944,-0.074317634,-0.42029542,-0.29318163,0.13374944,0
-8.859536,-0.010706086,-12.09911,-8.515021,-0.6559496,-0.66667324,-0.13530938,-0.43536258,-0.19071783,1.4060705,0
-4.560797,-0.58368444,-1.1414142,-5.6286044,-0.81366557,-0.6880948,-0.35798645,-0.44645262,-0.44479066,0.042676877,1
-4.9984336,0.0562863,-13.518781,-6.7871475,-1.0831085,-0.053240348,-0.12894258,-0.35649937,-0.4455332,-0.113939054,0
10.330953,0.403005,13.849352,5.863388,-0.49449977,-0.5654734,-0.0061244955,-0.36248127,-0.039352693,1.6799942,1
12.134986,-0.10342511,12.807895,1.5933545,-0.9545216,-0.6203845,0.027718231,-0.4751253,-0.23789065,1.2263883,1
-11.396028,-0.2745262,-12.131301,-6.391134,-0.18715462,-0.6488722,-0.28211236,-0.46497437,-0.4284126,-0.0703996,0
4.5496492,0.006679486,15.332402,3.5432765,-0.51105714,-0.6552862,-0.19043496,-0.43945932,-0.22797884,1.6337634,1
-9.513575,-0.20359366,-13.606331,-8.624925,-0.4765343,-0.64325064,-0.35171178,-0.31381428,-0.33132342,-1.7015818,0
-10.545595,-0.02802864,-13.961301,-6.715789,-1.0643234,-0.31129208,0.24712439,-0.4287637,-0.052729916,-0.24636841,0
-8.318309,-0.05973118,-12.253549,-6.784109,-0.8422324,-0.64401746,0.33849397,-0.461412,-0.13322057,0.4512315,0
3.7895331,-0.022157636,14.217399,1.1737264,-0.9214311,-0.52618665,0.5291239,-0.46783105,0.00889235,1.6783639,1
-5.934223,0.0076777223,-13.682342,-9.09268,-0.9799931,-0.13012928,-0.40857908,-0.48535222,-0.797499,0.30582044,0
-10.599155,-0.13191001,-12.268437,-5.1187534,-0.7569336,-0.653197,-0.03761585,-0.47331792,-0.17864926,-0.060616557,0
5.0972605,-0.02040555,13.956003,1.7334642,-0.93103874,-0.4612774,0.59380156,-0.4409592,-0.0046057105,1.6783543,1
-7.3136287,0.08650466,-12.735011,-7.26298,-0.85350364,-0.1157548,-0.43214065,-0.40119553,-0.90202725,-0.7459247,0
2.6257932,-0.04043455,-2.5950382,-4.4585576,-0.95941234,-0.33149505,0.07953648,-0.3807647,-0.07574193,1.4634807,1
-10.577279,-0.030168403,-12.746704,-6.018602,-1.0129856,-0.35805225,0.06487222,-0.47230715,-0.04659811,1.5918769,0
-10.0168085,-0.05417281,-12.731191,-9.284269,-1.0700005,-0.32892004,-0.22457181,-0.41747808,-0.10322118,1.582399,0
-11.883749,-0.28825924,-13.070857,-9.251385,-0.50800073,-0.50052965,-0.46978423,-0.47992566,-0.97218806,-1.9672505,0
5.6424847,-0.06291529,18.858513,2.0503504,-0.89269966,-0.6388437,0.097558364,-0.2831737,-0.17545901,0.21313517,1
