vgg16,vgg19,resnet34,resnet50,densenet121,densenet169,inception_v3,inception_resnet_v2,efficientnet-b4,efficientnet-b7,class
-0.2073102,0.0077501405,14.265654,4.9574585,-0.08290266,-0.010345298,0.116785645,-0.18782204,-0.0331017,-0.34607366,1
-0.1268817,0.10857113,-2.3485944,-3.5443237,-0.0656105,-0.114628136,0.043045104,-0.18924946,-0.047587,-0.3462078,1
-0.18186224,-0.07765354,-12.267255,-7.9409685,-0.08547549,-0.050920147,-2.851154,-0.18257454,-0.032629035,-0.34610283,0
-0.31980532,-0.12460956,-9.527566,-5.460045,-0.08165152,-0.066714734,-3.608854,-0.18912748,-0.03235341,-0.34580377,0
-0.35811642,-0.07542628,12.235671,10.729517,-0.091476455,-0.105861135,3.6995885,-0.18960515,-0.033603884,-0.346136,1
-0.41537452,-0.19247152,-12.602379,-6.7359457,-0.06390484,-0.143519,-2.7165332,-0.18733805,-0.056575395,0.22241475,0
-0.13667835,-0.01940596,-12.682578,-4.791608,-0.08257864,-0.032241914,-1.4180505,-0.18409887,-0.048489727,-0.34611163,0
0.009816295,0.01912819,-7.814449,-4.3613462,-0.08191482,-0.06848623,-2.260121,-0.18718088,-0.03585075,-0.34610677,1
-0.12232835,0.042165536,12.869081,3.6075833,-0.075876676,-0.031209799,1.9292376,-0.18304268,-0.033747554,-0.34614572,1
-0.21584347,-0.08475755,10.5438385,-2.85434,-0.0150726475,-0.17328216,2.4133117,-0.1825377,-0.06403947,-0.34604555,1
-0.07072334,0.072343186,-10.0670595,-4.5905056,-0.0789457,-0.028005527,-1.1953737,-0.18995541,-0.037691124,-0.34610772,0
0.0041447785,0.04203436,-11.654048,-4.5875025,-0.08241001,-0.060964532,-2.539415,-0.18911797,-0.048603915,-0.34589276,0
-0.5925637,-0.30391112,6.7155175,8.946625,-0.08149929,-0.08212769,-4.8362694,-0.18400338,-0.026224889,0.048443507,1
-0.3484274,0.097708955,-11.447008,-6.897297,-0.054989774,-0.09829487,-1.7285569,-0.19169912,-0.05806128,-0.34622654,0
0.55946,0.1595025,9.929082,2.8936176,-0.07314464,-0.048415132,1.1719182,-0.18511987,-0.04514519,-0.23754051,1
0.028524747,-0.16579385,12.690836,6.2078724,-0.07998052,-0.01871073,0.5508971,-0.18731293,-0.029083885,0.6817107,1
-0.7049345,-0.16256139,-12.947558,-9.000381,-0.09161388,-0.12158711,-5.69251,-0.18424568,-0.05906927,0.10232404,0
0.021972364,0.11385511,14.466252,9.2020235,-0.07758199,-0.06325179,3.0645564,-0.18565547,-0.038073123,-0.34609428,1
-0.7716605,-0.11583063,-12.24395,-8.3491335,-0.07350994,-0.1301772,-3.706136,-0.18703946,-0.04941664,-0.34610674,0
-0.20756817,-0.049718063,-13.783531,-3.8051164,-0.08622744,-0.013504463,-1.6031659,-0.18620202,-0.042390607,-0.34605908,0
-0.11981749,-0.001510022,-11.081417,-6.277869,-0.07741711,-0.009957827,-1.7858101,-0.18752044,-0.03408461,-0.34610873,0
-0.090384655,-0.003948791,10.04974,0.53155696,-0.083246276,0.026574245,1.559758,-0.18240198,-0.030052207,-0.3461547,1
-0.38244942,-0.10420033,-16.457539,-6.85252,-0.042032488,-0.13511549,-2.5282805,-0.18706644,-0.047541447,-0.3455952,0
-0.31085965,-0.07074264,-10.2759905,-5.14213,-0.08090552,-0.0010331373,-3.049106,-0.18669128,-0.041134797,-0.34604964,0
-0.082056455,-0.0007497051,11.421018,3.079951,-0.082480125,0.026972776,2.6082954,-0.1850284,-0.045897983,-0.34612757,1
0.095466055,-0.106996775,-13.343549,-7.434796,-0.025383135,-0.14508437,-2.031195,-0.1871033,-0.059135616,-0.3463609,0
-0.1306825,-0.012306197,-10.683013,-4.51186,-0.084446535,0.0014485207,-1.1999955,-0.1834223,-0.04786215,-0.34610114,1
-0.11697856,-0.0070874523,-12.303654,-5.602377,-0.08095676,0.00125754,-0.72028327,-0.18338409,-0.053105153,-0.34607777,0
-0.12811078,-0.020960597,-13.573094,-2.5208564,-0.08861178,0.0053483597,-2.7825062,-0.18865597,-0.0513905,-0.34609935,0
-0.6879828,-0.29699966,-11.527535,-5.9546165,-0.06051191,-0.19273733,-5.347703,-0.18937269,-0.054020986,-0.30100152,0
-0.05451427,-0.04862633,17.635908,9.908933,-0.09125047,-0.07527526,2.0090954,-0.18647003,-0.046291523,-0.31052116,1
-0.092086755,-0.0027571747,-10.017122,0.42176566,-0.0815759,0.016683979,-1.5681142,-0.18470192,-0.046447314,-0.346114,0
0.24286476,-0.0680697,14.081564,6.8952727,-0.0017078149,-0.25044587,1.3633343,-0.18810084,-0.041178904,-0.24453333,1
-0.09095488,-0.0031345913,-9.691188,0.6490542,-0.08208215,0.020795444,-0.5455883,-0.18822896,-0.035802297,-0.34613946,0
-0.15131173,-0.08585687,-15.254284,-5.7979665,-0.07748092,-0.08452886,-5.891383,-0.1831007,-0.03504709,-0.34596837,0
-0.044245776,0.0971497,-9.698032,-6.024352,-0.080791496,-0.093239926,-2.445232,-0.18496224,-0.042478018,-0.3461097,0
-0.09740635,-0.006550355,12.440199,0.64140195,-0.08269451,0.015562759,0.89502454,-0.18684345,-0.04102339,-0.3461363,1
-0.1571656,0.028369563,-3.570118,-5.6442327,-0.08424694,-0.052092478,-1.5063765,-0.1878458,-0.039826386,-0.34611863,0
-0.31818345,-0.14747992,12.547497,4.038484,-0.04681527,-0.18803766,6.4364424,-0.18763408,-0.029359818,-0.036165442,1
-0.11548246,-0.018094135,9.367313,3.1655214,-0.0859678,0.00781509,2.0452507,-0.18940938,-0.046636052,-0.34614852,1
-0.16933654,-0.24175608,12.295134,11.381025,-0.07255098,-0.049624678,4.044754,-0.1867679,-0.027309485,0.39011756,1
-0.12807369,-0.022665052,16.048796,7.0235147,-0.08361803,-0.016162464,0.39671594,-0.18626171,-0.043288045,-0.34611446,1
0.258167,-0.2247639,11.323074,12.078745,-0.014684927,-0.14294662,4.588956,-0.18118125,-0.05390393,-0.34548274,1
-0.38558686,-0.088514775,-11.040436,-4.5990763,-0.08847949,-0.12300787,-7.380734,-0.19075587,-0.050171353,-0.15231685,0
-0.12918927,-0.009709863,-12.0553055,-5.016131,-0.08656663,0.018058864,-0.8873712,-0.18724027,-0.038293473,-0.3461292,0
-0.33261123,-0.044327345,12.714514,12.787678,-0.08406178,-0.038428094,1.3297933,-0.18796045,-0.046585895,0.42180333,1
-0.8046102,-0.41982904,-14.010262,-7.920603,-0.015996864,-0.19174162,-2.638,-0.17901835,-0.030646406,-0.34621784,0
0.056803558,0.13496403,16.702124,6.217532,-0.07991452,-0.06383933,2.4986665,-0.18461585,-0.048292123,-0.3460922,1
-0.18822528,-0.025520978,-2.8341854,4.4567122,-0.064804755,-0.1540286,-0.24498516,-0.18539223,-0.051601425,-0.3462855,0
-0.13178596,-0.18262166,-12.662658,-7.7643685,-0.07129512,-0.1338534,-2.5836422,-0.18627703,-0.03556975,-0.34316686,0
-0.08777141,6.026239e-05,10.917316,0.9963544,-0.082011744,0.02140739,1.1865548,-0.18263385,-0.042073525,-0.34612465,1
-0.10809944,-0.0069778394,-11.812494,-3.9711502,-0.083898135,0.015810417,-0.7508522,-0.18682355,-0.042796873,-0.34606755,0
-0.7934412,-0.23343794,-14.025816,-8.637383,-0.08913026,-0.183092,-8.707563,-0.18762639,-0.041847482,0.07603688,0
-0.8538547,-0.24364294,-4.953363,-2.671355,-0.049291525,-0.12681438,-1.0872633,-0.18751809,-0.04981582,-0.34198213,0
-0.7531692,-0.14844605,-14.864639,-7.827013,-0.07488488,-0.051468287,-2.0940535,-0.18788996,-0.044886418,-0.3200411,0
-0.2442902,-0.011760397,9.574608,6.3759637,-0.07195543,-0.06325832,0.14597827,-0.18293926,-0.041248225,-0.34606233,1
-0.2358988,0.058401454,-13.420525,-6.370101,-0.08947111,-0.019810526,-3.0133507,-0.18249524,-0.05879768,0.12936561,0
-0.43130907,-0.203251,-12.9141,-0.72014636,-0.06690297,-0.089404285,-2.6924245,-0.1847291,-0.058110602,0.43700728,0
-0.575496,-0.24647738,-13.487401,-5.774185,-0.052017212,-0.089887075,-2.4871137,-0.18926668,-0.029822685,-0.34603247,0
-1.1722455,-0.66421527,19.56997,6.874372,-0.00837915,-0.23927669,3.8511822,-0.18394673,-0.025471203,0.079256594,1
-0.8261887,-0.28779897,0.12517372,5.479502,-0.029523106,-0.20808871,0.7218997,-0.18668222,-0.050251126,0.009914452,1
-1.3387319,-0.44548902,-10.755297,-4.6270623,0.03005694,-0.35058707,-1.9257563,-0.18385473,-0.07333998,0.822696,0
