vgg16,vgg19,resnet34,resnet50,densenet121,densenet169,inception_v3,inception_resnet_v2,efficientnet-b4,efficientnet-b7,class
0.118722394,0.113079585,0.7696344,-0.0056991093,-0.012398556,-0.36155742,1.1103119,-0.7772361,-0.012158218,8.5460205,1
0.11773899,0.1126896,0.7695468,-0.00570143,-0.012635643,-0.34438246,1.4063684,-0.7670115,-0.012269321,7.311766,1
-0.91342056,-0.16602013,-0.17797215,-0.048432276,-0.018589968,-0.7004918,-0.8448671,-0.76498234,-0.013105023,-8.126948,0
-0.83815527,-0.15109798,0.2078272,-0.058877397,-0.015565647,-0.3665394,-0.89724743,-0.86767316,-0.012853178,-8.401087,0
-0.76020265,-0.23390134,-0.6261491,-0.10398598,-0.011956377,-0.43362144,0.66174996,-0.74728775,-0.012989442,11.196909,1
-0.75779647,-0.18709698,-0.9413976,-0.18022478,-0.020553881,-0.69208115,-0.70749485,-0.5611161,-0.013009469,-9.399347,0
0.052496552,0.11248415,0.7691985,-0.0057094432,-0.012366882,-0.3431824,0.25786236,-0.84126484,-0.012810695,-5.259304,0
0.014868796,0.08236674,0.6279565,-0.006989766,-0.012192108,-0.3579838,0.24469472,-0.71184146,-0.0125715835,8.502906,1
0.11686641,0.11352901,0.7731219,-0.0057183653,-0.012901457,-0.3089145,2.5290785,-0.8779075,-0.012519973,1.137604,1
0.5902132,0.115929656,-0.07348393,-0.1599065,-0.0303873,-1.3973718,-0.3174575,-0.6061368,-0.012901644,7.915728,1
-0.43288252,-0.06028475,-0.4253481,-0.08980628,-0.020856688,-0.72768784,-0.36494538,-0.7171955,-0.012443039,-8.599042,0
-0.16793378,0.029479504,0.17534281,-0.026257284,-0.011871068,-0.34345642,-0.044147395,-0.8568163,-0.012409191,-7.129356,0
-0.65749496,-0.34955573,-0.5343836,-0.31028056,-0.013186449,-0.3650991,2.0137098,-0.76471436,-0.01302513,9.9847355,1
0.4257307,0.12869583,0.38371912,-0.0061154626,-0.014734453,-0.5451518,0.32672605,-0.82333446,-0.012062083,-12.202553,0
0.55311024,0.55987835,-0.10925309,-0.115521565,-0.017249687,-0.48998973,0.8638959,-0.75649095,-0.012945759,6.6745443,1
-0.1504008,0.068495646,0.48313,-0.028529026,-0.0155305825,-0.34090644,0.12507205,-0.80685043,-0.013006392,6.448293,1
-2.462579,-0.8796449,-1.1032596,-0.35056502,-0.019170282,-0.5068518,-0.6105655,-0.7242678,-0.013627763,-10.316069,0
0.37915832,0.05686755,0.05015118,-0.053136963,-0.013508787,-0.39848867,-0.48624364,-0.90864885,-0.012537162,5.5427895,1
0.009092107,0.1070137,0.7566676,-0.005729053,-0.012377545,-0.3468863,0.9894343,-0.68109024,-0.013087007,-11.150769,0
-0.52651703,0.03191109,0.70115083,-0.005824376,-0.012574544,-0.43405223,0.27925092,-0.7070334,-0.012285414,-9.9007845,0
0.4108735,0.010502101,0.2653659,-0.023637267,-0.013348965,-0.37655354,0.085315324,-0.9001057,-0.012663956,-8.144746,0
0.09130509,0.11367478,0.7720811,-0.0057177544,-0.012846414,-0.31079814,2.1102843,-0.980405,-0.012595433,5.4533,1
-0.7428905,-0.08208675,-0.7244734,-0.3467319,-0.03670339,-1.4763641,-0.49469545,-0.63150954,-0.013120997,-10.4812355,0
-0.6887988,-0.1607751,-0.08365892,-0.10880354,-0.015206814,-0.3551456,-0.6556469,-1.05151,-0.013262744,-8.158655,0
0.120584324,0.11327293,0.7718377,-0.005708035,-0.012692951,-0.32493353,1.9983125,-0.873441,-0.012488606,9.189513,1
-0.075902686,-0.04787875,-1.0455712,-0.4452941,-0.043050352,-1.6408286,-0.49503988,-0.57804775,-0.013324621,-7.2508674,0
0.091636494,0.11330774,0.7702283,-0.005710069,-0.012687087,-0.3318211,1.0116053,-1.0232238,-0.012958686,4.031116,1
0.023022994,0.10633264,0.7330894,-0.005742114,-0.012908256,-0.38344926,0.28060734,-0.8684833,-0.012800503,-7.3759646,0
0.0031901004,0.109984614,0.7634776,-0.0057158507,-0.012406742,-0.3861721,0.13216658,-0.7645848,-0.01301914,-8.323561,0
-2.6955893,-0.45677137,-0.833383,-0.45837834,-0.023591423,-0.80539596,-1.1538317,-0.8135402,-0.014030303,-15.361457,0
-0.3127964,-0.016292576,0.3676425,-0.012624685,-0.011929315,-0.3685215,0.8861859,-0.828674,-0.0128416745,9.551465,1
0.063729554,0.11337476,0.77121574,-0.0057150386,-0.012761861,-0.31435415,0.46396986,-0.91155994,-0.012857097,-5.183333,0
-0.0054549724,0.08800938,0.5746544,-0.0056933574,-0.015723735,-0.62967753,0.51377815,-0.691769,-0.012695293,6.0669475,1
0.088359654,0.11387324,0.7722983,-0.0057124533,-0.012770986,-0.3099591,1.3894486,-0.6488328,-0.012800026,-5.666274,0
-0.534164,0.009837405,-0.27610755,-0.075416446,-0.01420771,-0.3867121,-1.3356442,-1.011862,-0.012878331,-12.622473,0
-0.08475436,-0.048872493,-0.45529178,-0.15067446,-0.014775986,-0.3927081,-0.8221513,-0.8407872,-0.012603628,-8.364572,0
0.08119747,0.113443725,0.77222294,-0.0057109855,-0.012710726,-0.3130183,1.3671746,-0.87217724,-0.012715588,8.572177,1
0.39848182,0.14007151,0.52802026,-0.011683252,-0.012056513,-0.48198083,-1.0000964,-0.85091805,-0.012672233,0.41636354,0
0.06953356,0.1110411,0.7696286,-0.005701117,-0.012635456,-0.31578943,1.7827421,-0.9607514,-0.012448239,5.6057277,1
-0.25944957,0.027174696,0.6639351,-0.0076699443,-0.012816781,-0.34100616,0.68355167,-0.784873,-0.012909534,8.297007,1
-0.073130205,0.03150495,0.10660898,-0.010311324,-0.014364671,-0.53985983,-0.23991285,-0.66165125,-0.012427497,0.6248246,1
-0.06808004,0.114145756,-0.40004492,-0.013650063,-0.019802505,-0.80358315,0.2628921,-0.68564147,-0.012534427,4.752461,1
-0.7520276,-0.04661746,0.050254814,-0.026435982,-0.012419252,-0.3860117,-0.46030864,-0.800894,-0.012776646,-13.164492,0
-0.07730244,0.0989115,0.749447,-0.0058122464,-0.0119448975,-0.32049933,0.69803673,-0.8622277,-0.012738588,-6.7117763,0
0.018012017,0.10190222,0.76096296,-0.005712036,-0.012560561,-0.35431513,0.5376557,-0.92779565,-0.012571449,11.024544,1
-1.2986451,-0.13140619,-1.0431224,-0.40493444,-0.04328193,-1.6801926,-0.78887105,-0.77995074,-0.013487111,-10.514982,0
0.5923776,-0.06251917,0.0952227,-0.11096117,-0.012818852,-0.38309136,-0.38855195,-0.8773232,-0.01271538,8.475983,1
-1.2598265,-0.16516382,-0.70973676,-0.20062417,-0.02741392,-1.0888073,-0.69603705,-0.5723151,-0.012927677,-2.023116,0
-1.294654,-0.19982997,-0.10300396,-0.08285054,-0.014437413,-0.57335997,-0.6596973,-0.56169856,-0.012640434,-8.560466,0
0.09856446,0.11271731,0.7714604,-0.0057038777,-0.01243346,-0.33542705,1.3470927,-0.8677304,-0.012281652,7.7172875,1
0.028614223,0.10866646,0.76401645,-0.0057053827,-0.012467468,-0.34739882,0.43217725,-0.80623126,-0.012964937,-6.8186593,0
-1.2062505,-0.8197279,-0.99724317,-0.27801067,-0.014673589,-0.42026415,-1.4543865,-0.7529378,-0.013214412,-7.851865,0
-0.93691015,-0.62658596,-1.2591034,-0.36417007,-0.043798726,-1.6116955,-0.4514146,-0.6390345,-0.013571049,-0.8633778,0
-1.0374099,-0.54921174,-0.7675174,-0.03696489,-0.021473566,-0.9991194,-0.5343698,-0.71371555,-0.0126320375,-12.504488,0
0.118140206,0.047826912,-0.39042905,-0.10455994,-0.01949454,-0.8341174,-0.16432194,-0.64119804,-0.012666273,9.925852,1
-0.3558946,-0.037438698,-0.5720586,-0.15369451,-0.015489142,-0.38834724,-0.6010521,-0.83972454,-0.013212944,-7.7184215,0
-0.30573174,-0.33997226,-0.7727234,-0.160339,-0.019077728,-0.61578083,-0.34702662,-0.5316036,-0.01289847,-9.125445,0
-0.79804486,-0.15421116,-1.1185759,-0.21143632,-0.03585989,-1.4346209,-1.0623363,-0.69191253,-0.013933825,-9.185427,0
