vgg16,vgg19,resnet34,resnet50,densenet121,densenet169,inception_v3,inception_resnet_v2,efficientnet-b4,efficientnet-b7,class
1.6699444,0.15471637,1.0593479,1.8806976,0.0011886265,-0.078525424,2.5306025,-2.1588502,-0.012732383,4.8466997,1
1.6834596,0.1556738,1.0627851,1.8151256,0.008616792,-0.07767583,2.3710685,-2.2341905,-0.01274127,3.5852723,1
-1.169769,-0.43745202,0.18243363,-3.0396857,0.0017142668,-0.08997796,-2.0642803,-1.8645309,-0.012740832,-7.2368436,0
-3.2270756,-0.48266178,-0.0028633592,-5.811941,0.01066307,-0.08061354,-2.7505262,-1.432011,-0.012779839,-6.2098117,0
2.7669804,-0.4113703,0.40748537,5.5592484,0.0001642332,-0.08555402,4.252209,-1.8661293,-0.01279192,2.4956992,1
-0.80064297,-0.1514753,-0.5570059,-5.2848988,-0.002019558,-0.091924414,-1.5101957,-1.7097381,-0.012742342,-5.5301,0
1.1407205,0.13880737,1.0638236,1.5329808,0.009009007,-0.07727544,-1.1546395,-2.4825625,-0.012743367,-0.8285895,0
-0.28813985,-0.053310797,0.7425434,2.2397282,0.0045217928,-0.07914017,1.3682008,-2.3660645,-0.012775691,5.30817,1
1.6208583,0.15951204,1.0633496,1.7929345,0.04542061,-0.07557412,2.7605631,-2.3918824,-0.012790732,3.2290971,1
1.7458146,0.3249677,1.9279883,4.0738864,-0.006029509,-0.11056064,2.1475976,-1.4105533,-0.012718819,6.2839575,1
-0.42418614,-0.4204985,-0.17855285,-1.6212608,-0.0016779304,-0.09330398,0.33421156,-1.7056183,-0.012707952,-4.2761106,0
-1.084963,-0.22104682,-0.1427076,-5.4081173,0.011232812,-0.080782354,-3.0558245,-2.0280957,-0.012793183,-5.598287,0
3.5276034,-0.5347877,0.5507625,18.673302,0.0029498003,-0.08629596,8.753103,-1.3948845,-0.012839114,5.788175,1
1.343796,0.28794676,0.4779792,0.1130922,-0.0030978583,-0.086145565,0.4350929,-2.004932,-0.012709359,-3.1555693,0
4.4549246,0.8782634,0.22664419,5.5978403,0.00069596065,-0.090250246,1.5925138,-1.1739143,-0.0127429515,4.744657,1
0.07594174,-0.2335782,0.6752399,2.92072,0.011627506,-0.07946722,0.8695893,-1.8995689,-0.012772843,5.365765,1
-4.429437,-1.1409719,-0.16395064,-2.5795596,0.0056695305,-0.09525511,-5.8873143,-0.7690433,-0.0127968155,-4.5404925,0
0.25173292,-0.11462703,0.3196475,-4.302444,0.0044169575,-0.08320319,-1.7225572,-2.2540116,-0.012772597,1.6292156,1
0.2540748,0.1329441,1.0420575,-3.4138296,0.037427224,-0.07792299,-0.15742983,-2.267325,-0.012784662,-5.961143,0
-1.1735464,-0.1729992,0.964048,-2.81122,-0.0017146282,-0.0817572,-0.14937903,-2.1962533,-0.012715513,-6.869838,0
0.21559562,-0.019324422,0.25807503,-3.69606,0.005992204,-0.08046658,-1.9273762,-2.1648908,-0.012768207,-5.560987,0
1.4027387,0.15494832,1.0630243,1.8024666,0.038453523,-0.07566227,2.1894197,-2.0303674,-0.012779674,4.410094,1
-1.6717821,-0.22070777,-1.6014369,-5.0057755,-0.0028937664,-0.12357271,-3.2747319,-0.019876864,-0.012757419,-9.229982,0
-1.7367334,-0.47793648,-0.13065296,-3.6164691,0.030925717,-0.08094628,-4.2618165,-2.1401925,-0.012807364,-6.1375456,0
1.7255964,0.15714882,1.0635304,1.7038369,0.033089016,-0.07680169,3.0815458,-2.5162034,-0.012771178,5.395025,1
-1.7483288,-0.031915806,-3.528638,-7.0203786,-0.0033632834,-0.13069504,-2.292645,0.22086677,-0.012764223,-6.6429763,0
1.3048519,0.14119191,1.0627139,1.7888848,0.02736114,-0.07660738,0.8654994,-2.4370847,-0.0127768535,5.209597,1
0.5744991,0.103299916,1.0113695,-1.0972086,0.007116139,-0.07853252,-0.53306484,-1.8899578,-0.01274335,-3.3313227,0
0.9632901,0.13115354,1.059304,-0.09116311,0.008591022,-0.07934074,-0.7650355,-2.2401834,-0.012747675,-3.2726386,0
-3.6696956,-1.4728305,-3.060708,-3.4855006,0.004020363,-0.10244935,-6.264955,0.017999265,-0.012773637,-8.26496,0
1.0829087,-0.022920202,0.63882303,5.808863,-0.00034884916,-0.08063098,2.2860823,-2.143866,-0.012750493,4.694904,1
1.1764284,0.14307728,1.0637674,1.7936949,0.014504053,-0.07575074,-1.2152377,-2.1346612,-0.012769073,-4.5963807,0
0.7726569,0.10495142,0.8689698,1.6799353,0.0016842596,-0.088197485,0.32627115,-1.8186802,-0.01270018,6.3059716,1
1.4017018,0.14933807,1.0633094,1.7876226,0.027371448,-0.0755025,-0.31207588,-2.2283845,-0.012781365,-2.0336256,0
-1.6039753,-0.2309695,-0.553108,-5.3611226,0.0077443756,-0.083655804,-2.6807349,-1.5263752,-0.012788525,-6.5457635,0
-1.1747731,-0.32586846,-0.85262907,-5.519192,0.0033162478,-0.085474335,-3.7034705,-1.914967,-0.01276979,-8.416235,0
1.4693452,0.14581096,1.0640914,1.7934165,0.016687423,-0.07580024,1.1470834,-2.5721269,-0.012762291,4.546311,1
-0.124028444,0.109139994,0.48730063,-3.0564084,-0.004943425,-0.08331054,-0.6615752,-2.0789647,-0.012741726,-2.127717,0
1.479,0.15343267,1.061865,1.5459384,0.03279925,-0.07634867,1.8614761,-1.9760364,-0.012775371,3.6164339,1
1.1954349,0.0032011822,0.82423615,2.9152482,0.013806786,-0.0782623,0.8217089,-2.4351258,-0.012775771,4.728261,1
0.053745404,0.01729174,0.6197349,-3.383654,0.00090560137,-0.08469771,-0.36924008,-1.9415706,-0.012734575,-4.818297,1
0.51572615,0.06318734,0.32558095,1.8113259,0.0028993562,-0.093489505,0.7437804,-2.4861207,-0.012725199,6.135581,1
-1.2375807,0.07140338,0.91061646,-4.517127,0.009547519,-0.08038668,-0.6479597,-2.3808312,-0.01277267,-7.065038,0
-0.36013308,0.0883838,1.0436642,-3.7735875,0.026499312,-0.07703683,-0.47371295,-2.362927,-0.012783315,-9.069761,0
0.8073797,0.011317519,1.0024397,2.6061466,0.017392699,-0.078176744,1.7660922,-2.543324,-0.012757864,4.238217,1
-2.4208996,-0.39731604,-2.8991756,-5.982331,-0.00053017394,-0.1383933,-3.6052268,0.25147972,-0.012792885,-9.274963,0
0.9565612,0.19953421,0.5037803,1.9591658,0.0059034377,-0.08426529,1.4354506,-2.0390725,-0.012775298,5.0551715,1
-1.4725536,-1.2170415,-1.552276,-4.624622,0.00057875,-0.10521774,-0.44395748,-2.1377244,-0.012732219,-1.1987256,0
-1.4538373,-0.8322888,0.08239984,-4.01663,-0.0013973936,-0.08862167,-2.8977356,-1.7013668,-0.012731846,-9.908857,0
1.5386357,0.1500499,1.0634847,1.7928956,0.0095509775,-0.07662012,1.9608788,-2.6794915,-0.01275217,4.7819924,1
0.7341059,0.13090473,1.0548682,1.5543402,0.008319382,-0.07763712,-0.7627654,-2.096562,-0.012737637,-0.41110843,0
-1.7313821,-0.61822784,-0.23324126,-1.497481,-0.00758571,-0.090294264,-8.250115,-2.1204724,-0.012753801,-9.615555,0
-0.6005129,-0.051333882,-0.9890281,-4.8702908,-0.008966444,-0.12015184,-0.73852587,-1.0595917,-0.012721952,-3.3465016,0
-1.7693528,-0.472481,-0.48196784,-4.0801787,-0.010760069,-0.094855055,-1.2954636,-2.0575395,-0.012705689,-4.921056,0
0.4501789,-0.097894914,-0.26030606,6.9035873,-0.0107992925,-0.09292218,1.8075061,-1.3279327,-0.012701217,4.7641397,1
-1.1647865,0.116794474,-0.20144731,-3.5340626,0.0015533045,-0.08183713,-3.870934,-2.1669717,-0.012761869,-8.910706,0
-1.4301206,-0.28880855,-1.5401008,-2.5398934,-0.008812897,-0.091436334,-4.278076,-1.1545738,-0.012756994,-5.771131,0
